Year,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
2022,West Ham,25,38.0,608,336,290,226,92,270,563,48.0,293,415,139,276,408,1016,810,10
2022,Wolves,32,38.0,660,370,363,222,75,285,616,46.3,331,497,175,322,279,939,817,19
2023,Arsenal,25,38.0,610,348,257,246,107,271,543,49.9,272,412,106,306,292,902,515,18
2023,Aston Villa,31,38.0,547,311,269,210,68,260,550,47.3,290,389,113,276,236,783,597,13
2023,Bournemouth,30,38.0,693,410,301,281,111,325,688,47.2,363,504,153,351,357,1050,817,16
2023,Brentford,28,38.0,677,399,349,250,78,317,697,45.5,380,474,142,332,378,1055,903,18
2023,Brighton,30,38.0,644,366,292,252,100,307,658,46.7,351,437,140,297,288,932,603,21
2023,Burnley,31,38.0,607,342,282,247,78,284,584,48.6,300,477,169,308,280,887,837,22
2023,Chelsea,32,38.0,663,376,325,235,103,323,630,51.3,307,448,166,282,298,961,785,24
2023,Crystal Palace,26,38.0,788,464,373,301,114,337,609,55.3,272,456,122,334,323,1111,927,6
2023,Everton,26,38.0,743,442,371,261,111,347,701,49.5,354,479,177,302,358,1101,882,12
2023,Fulham,25,38.0,679,384,339,260,80,346,678,51.0,332,437,117,320,371,1050,744,14
2023,Liverpool,30,38.0,677,418,274,290,113,341,768,44.4,427,475,108,367,292,969,583,19
2023,Luton Town,28,38.0,654,368,330,236,88,299,616,48.5,317,493,183,310,325,979,916,21
2023,Manchester City,25,38.0,517,305,183,221,113,222,458,48.5,236,353,75,278,233,750,457,17
2023,Manchester Utd,31,38.0,676,409,334,240,102,349,715,48.8,366,534,207,327,313,989,884,12
2023,Newcastle Utd,32,38.0,661,391,316,254,91,302,681,44.3,379,497,151,346,285,946,682,16
2023,Nott'ham Forest,33,38.0,728,430,437,219,72,326,609,53.5,283,489,168,321,331,1059,968,13
2023,Sheffield Utd,35,38.0,709,405,375,248,86,299,635,47.1,336,514,180,334,348,1057,1042,18
2023,Tottenham,29,38.0,724,451,335,264,125,360,691,52.1,331,445,132,313,355,1079,707,24
2023,West Ham,26,38.0,684,426,350,254,80,307,607,50.6,300,487,180,307,361,1045,906,9
2023,Wolves,27,38.0,739,430,415,247,77,312,607,51.4,295,506,173,333,284,1023,828,16
2024,Arsenal,25,38.0,598,348,220,249,129,260,515,50.5,255,328,106,222,225,823,680,33
2024,Aston Villa,28,38.0,637,372,293,249,95,310,546,56.8,236,329,107,222,240,877,788,43
2024,Bournemouth,29,38.0,691,399,290,299,102,301,627,48.0,326,459,136,323,351,1042,1013,22
2024,Brentford,28,38.0,633,380,289,223,121,314,596,52.7,282,480,199,281,285,918,1040,28
2024,Brighton,32,38.0,705,431,287,297,121,350,703,49.8,353,439,122,317,315,1020,762,29
2024,Chelsea,29,38.0,588,371,243,244,101,273,536,50.9,263,356,103,253,272,860,695,45
2024,Crystal Palace,29,38.0,767,450,374,300,93,324,643,50.4,319,485,144,341,334,1101,1088,19
2024,Everton,26,38.0,732,433,366,269,97,338,656,51.5,318,392,138,254,345,1077,1088,25
2024,Fulham,26,38.0,679,411,327,259,93,289,565,51.2,276,382,113,269,302,981,914,33
2024,Ipswich Town,32,38.0,589,340,294,214,81,281,604,46.5,323,436,185,251,303,892,1102,39
2024,Leicester City,32,38.0,728,431,361,278,89,336,695,48.3,359,505,198,307,327,1055,987,31
2024,Liverpool,24,38.0,642,391,271,267,104,340,656,51.8,316,367,97,270,299,941,724,31
2024,Manchester City,30,38.0,497,299,183,216,98,214,449,47.7,235,331,89,242,229,726,619,35
2024,Manchester Utd,31,38.0,817,493,394,305,118,400,723,55.3,323,386,107,279,358,1175,759,26
2024,Newcastle Utd,24,38.0,603,371,275,235,93,306,604,50.7,298,411,141,270,270,873,884,34
2024,Nott'ham Forest,23,38.0,698,419,406,225,67,343,670,51.2,327,427,157,270,322,1020,1220,24
2024,Southampton,36,38.0,652,378,310,266,76,280,584,47.9,304,433,201,232,305,957,988,51
2024,Tottenham,31,38.0,661,414,285,271,105,296,598,49.5,302,448,159,289,322,983,821,41
2024,West Ham,27,38.0,654,388,317,253,84,290,532,54.5,242,440,169,271,331,985,1037,28
2024,Wolves,32,38.0,801,471,412,305,84,373,669,55.8,296,437,137,300,298,1099,947,25
